Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8635455001DO001_201203 Tourist Accommodation, Small Area Data, South Australia, Mar 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Fri 6 Jul 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4 Hotels, motels and serviced apartments, by tourism region and statistical area level 2–South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Establishments,Rooms,Bed spaces,Persons employed,Room nights occupied,,,,Room occupancy rate,,,,Guest arrivals,,,,Guest nights occupied,,,,Bed occupancy rate,,,,Average length of stay,,,,Takings from accommodation,,,,Average takings per room night occupied,,,,Average takings per room night available,,,,
,March Quarter 2012,March Quarter 2012,March Quarter 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,January 2012,February 2012,March 2012,March Quarter 2012,
,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,days,days,days,days,$,$,$,$,$,$,$,$,$,$,$,$,
Limestone Coast (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murraylands (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karoonda - Lameroo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mannum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murray Bridge,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murraylands (TR) Total,7,160,448,64,"2,623","2,473","3,171","8,267",52.9,53.3,63.9,56.8,"2,625","2,366","3,013","8,004","4,280","3,838","4,684","12,802",30.8,29.5,33.7,31.4,1.6,1.6,1.6,1.6,"254,471","209,884","276,299","740,654",97.02,84.87,87.13,89.59,51.30,45.23,55.71,50.87,
Fleurieu Peninsula (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McLaren Vale,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goolwa - Port Elliot,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strathalbyn,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Harbor,7,207,587,172,"4,245","3,147","4,035","11,427",66.2,52.4,62.9,60.7,"6,511","4,242","5,364","16,117","9,276","6,343","7,943","23,562",51.0,37.3,43.7,44.1,1.4,1.5,1.5,1.5,"576,790","349,549","476,635","1,402,974",135.88,111.07,118.13,122.78,89.88,58.23,74.28,74.48,
Yankalilla,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fleurieu Peninsula (TR) Total,14,455,"1,235",310,"7,779","6,234","7,794","21,807",55.2,47.2,55.3,52.7,"10,959","8,154","10,010","29,123","17,001","12,046","15,206","44,253",44.4,33.6,39.7,39.4,1.6,1.5,1.5,1.5,"1,085,015","716,873","902,719","2,704,607",139.48,114.99,115.82,124.02,76.92,54.33,64.00,65.32,
Adelaide (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide,35,"4,167","10,270","2,105","93,387","98,985","111,272","303,644",73.4,81.9,86.1,80.5,"64,033","67,128","76,641","207,802","155,261","142,048","165,714","463,023",49.6,47.7,52.1,49.8,2.4,2.1,2.2,2.2,"14,543,959","16,659,631","21,056,276","52,259,866",155.74,168.30,189.23,172.11,114.28,137.86,163.00,138.52,
North Adelaide,8,410,"1,400",123,"7,999","8,107","8,825","24,931",62.9,68.2,69.4,66.8,"5,834","6,098","6,455","18,387","14,834","13,437","13,957","42,228",34.2,33.1,32.2,33.1,2.5,2.2,2.2,2.3,"1,077,959","1,043,652","1,343,110","3,464,721",134.76,128.73,152.19,138.97,84.81,87.78,105.67,92.86,
Glenside - Beaumont,4,171,500,27,"4,383","4,157","4,156","12,696",82.7,83.8,78.4,81.6,"2,293","2,221","2,379","6,893","7,593","7,462","7,213","22,268",49.0,51.5,46.5,48.9,3.3,3.4,3.0,3.2,"344,601","306,781","349,355","1,000,737",78.62,73.80,84.06,78.82,65.01,61.86,65.90,64.31,
Toorak Gardens,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwood (SA),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prospect,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walkerville,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwood - Millswood,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unley - Parkside,6,228,726,209,"4,622","4,554","5,479","14,655",65.4,68.9,77.5,70.6,"3,430","3,082","3,688","10,200","8,631","7,290","9,575","25,496",38.3,34.6,42.5,38.6,2.5,2.4,2.6,2.5,"485,286","463,885","615,121","1,564,292",104.99,101.86,112.27,106.74,68.66,70.16,87.03,75.39,
Gawler - South,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth East,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield - Blair Athol,3,115,313,33,,,"2,360","6,636",,,66.2,63.4,,,"1,647","4,767",,,"3,684","10,988",,,38.0,38.6,,,2.2,2.3,,,"307,839","839,560",,,130.44,126.52,,,86.35,80.23,
Northgate - Oakden - Gilles Plains,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
