Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8635455001DO001_201206 Tourist Accommodation, Small Area Data, South Australia, Jun 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Fri 5 Oct 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5 Hotels, motels and serviced apartments, by Statistical Local Areas (ASGC)–South Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Establishments,Rooms,Bed spaces,Persons employed,Room nights occupied,,,,Room occupancy rate,,,,Guest arrivals,,,,Guest nights occupied,,,,Bed occupancy rate,,,,Average length of stay,,,,Takings from accommodation,,,,Average takings per room night occupied,,,,Average takings per room night available,,,,
,June Quarter 2012,June Quarter 2012,June Quarter 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,April 2012,May 2012,June 2012,June Quarter 2012,
,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,days,days,days,days,$,$,$,$,$,$,$,$,$,$,$,$,
Murray Bridge (RC),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Mallee (DC),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandrina (DC) - Coastal,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandrina (DC) - Strathalbyn,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onkaparinga (C) - Hills,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Harbor (C),7,207,585,156,"3,311","2,722","2,625","8,658",53.3,42.4,42.3,46.0,"4,683","3,238","3,214","11,135","7,499","5,360","5,273","18,132",42.7,29.6,30.0,34.1,1.6,1.7,1.6,1.6,"396,034","322,171","284,557","1,002,762",119.61,118.36,108.40,115.82,63.77,50.21,45.82,53.23,
Yankalilla (DC),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide (C),44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burnside (C) - South-West,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Sturt (C) - Coastal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Sturt (C) - Inner West,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Sturt (C) - North-East,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gawler (T),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holdfast Bay (C) - North,16,906,"2,543",631,"18,896","19,664","16,573","55,133",69.5,70.0,61.0,66.9,"14,025","13,981","12,085","40,091","35,456","33,948","29,211","98,615",46.5,43.1,38.3,42.6,2.5,2.4,2.4,2.5,"3,412,642","3,278,827","2,599,619","9,291,088",180.60,166.74,156.86,168.52,125.56,116.74,95.64,112.69,
Holdfast Bay (C) - South,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion (C) - Central,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion (C) - North,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norw. P'ham St Ptrs (C) - West,3,125,399,43,,,,"7,290",,,,64.1,,,,"4,140",,,,"11,350",,,,31.3,,,,2.7,,,,"580,752",,,,79.66,,,,51.06,
Onkaparinga (C) - North Coast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onkaparinga (C) - Woodcroft,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Playford (C) - Elizabeth,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Adel. Enfield (C) - Coast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Adel. Enfield (C) - Inner,3,115,315,36,,"1,971",,"5,536",,55.3,,52.9,,"1,404",,"4,152",,"2,628",,"8,033",,26.9,,28.0,,1.9,,1.9,,"232,123",,"657,117",,117.77,,118.70,,65.11,,62.79,
Prospect (C),1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salisbury (C) - South-East,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salisbury (C) Bal,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tea Tree Gully (C) - South,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unley (C) - East,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unley (C) - West,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walkerville (M),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Torrens (C) - West,3,97,217,44,"1,858","2,073","1,802","5,733",63.8,68.9,61.9,64.9,"1,650","2,445","2,241","6,336","2,744","2,776","2,489","8,009",42.2,41.3,38.2,40.6,1.7,1.1,1.1,1.3,"233,461","279,221","243,457","756,139",125.65,134.69,135.10,131.89,80.23,92.86,83.66,85.66,
Adelaide Hills (DC) - Central,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mount Barker (DC) - Central,4,149,483,65,"2,662","1,985","1,944","6,591",59.6,43.0,43.5,48.6,"2,068","1,840","1,854","5,762","4,689","3,352","3,400","11,441",32.4,22.4,23.5,26.0,2.3,1.8,1.8,2.0,"333,892","246,034","219,399","799,325",125.43,123.95,112.86,121.28,74.70,53.27,49.08,58.95,
Barossa (DC) - Angaston,4,92,297,89,"1,475","1,521","1,314","4,310",53.4,53.3,47.6,51.5,"1,556","1,461","1,289","4,306","2,678","2,589","2,278","7,545",30.1,28.1,25.6,27.9,1.7,1.8,1.8,1.8,"131,223","133,020","109,599","373,842",88.96,87.46,83.41,86.74,47.54,46.64,39.71,44.65,
Barossa (DC) - Barossa,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
